Standard,Non-Standard
ang kapal ng mukha,an kpl ng muka
akala mo naman maganda,kla mu nman mgnda
usap usap wala na yun,usap2x wla nayun
nag usap na nga,ng usp nanga
kumusta na kaya,muxta n kya
mga mayayabang na ito,mg myayabng nato
daming satsat,dming sat2x
sana nademanda na ito,sna ndemanda n i2
nawalan siya trabaho,nwalan xa trabahu
doon siya,dun xa
pangkain niya sa araw araw,png kain nia s araw2x
mukha mo,muhka u
hirap noon,hrap nyon
abusado yan dalawa,abusdo yn dlwa
hindi totoong,nd 22ong
hindi nila nararamdaman,nd nla nraramdman
nakukuha pa tumawa,nkukuha p 2mawa
para hindi mapamarisan,pra ndi mpmarisan
masyado mapanghusga,mxado mpnghusga
dapat lang para magtanda,dpt lng pra mgtanda
ako nga wala nakuha,aq nga wla nkuha
alam naman palang mali,alm nman plang mli
ibig sabihin talaga ginusto nila yun,ibg sabhin tlaga ginus2 nla un
bakit ginawa,bk8 ginwa
sana pati sa,sna pti s
kapal pala niyan,kpal pla nian
hindi totoo,hnd tutuo
baka mauto pa si kuya,bka mau2 p c kua
yan ang hirap sa iba,yn an hrap s ib
sinabi mo yan para magmukha,snvi mu yn pra mgmuka
kung iisipin niyo muna,qng iicpin nio mona
hindi porket sikat kayo,hnd porkit ckat kayu
kayong mamahiya ng kapwa niyo,kayung mmahiya ng kpwa nyu
siguro naman kaya niyo,cguro nmn kya nio
wala naman utak,wla namn utk
pwede pa pong mawalan,pd p pong mwlan
ang layo ng pinuntahan,an lau ng pinunthan
makapagsalita naman kasi kayo,mkpag slita nman kac kau
dapat diyan madala,dpt dyn mdala
rehas sa inyong dalawa,rihas sanyong dalwa
ano na kaya nangyari dito,nu n kya nngyare d2
talagang ganyan,tlgang gnyan
naku ulo ka ba,nako olo kaba
gusto ko tuluyan yan,guxto q 2loyan yn
mayayabang yan sila dalawa,maybang yn cla dalaw
hindi na po tuloy,hnde n po toloy
lahat ng tao pwedeng tulad nila,lht ng tao pdeng 2lad nla
hindi lahat pwede niyo ganyanin,nd lht pde nyu gnyanin
huwag puro yabang,wag pro ybang
damang pwedeng ipalabas,dmi nmng pdng iplabas
dahil ba ganoon lang,dhil b gnun lng
dapat dyan maturuan,dpt djan m2ruan
huwag idaan sa ganda,wag idan s gnda
katulad nila,k2lad nla
kasabwat yata,ksbwat ata
tingnan niyo yan,tngnan nio yn
kasi alam na,ksi alm n
yan ang napapala,yn an nppala
siguro wala tumutuwid sa ugali,cguro wla tumotuwed s ugli
pagkakamali nila,pag kala mali nla
sinungaling yan,cnungling yn
sayang ka,syng k
bakit humina boses mo,bk8 humna buses mu
ganyang pag uugali may,ganeang pg-uugalimay
pinag aralan naman,ping araln nman
dapat hindi nagsalita,dpat indi ng slita
porket sikat,purke ckat
ito yung mga,eto ung mg
yan padalos dalos kasi,yn p dalos2x kc
ngayon kayo naman,ngaun kau nmn
ipakulong yan,ipkulong yn
sobrang nakakainis,sobrng nkkainis
sikat na,ckat n
may mga magulang,my mga mgulng
para tapos ang usapan,pra tpos an uspn
dapat bigyan ng leksyon,dpt bgyan ng liksion
para matuto ang dalawa na yan,pra matutu an 2 n yn
naman si kuya,namn sinkuya
katakot boses nung babae,ktkot boces nun bbae
tumatawa pa ang dalawa,tumatwa p an dlw
hindi sila seryoso,ndi cla seryuso
ang yabang niyo na,an ybanh nio n
para matauhan,pra mtaohan
hindi makipag usap ng maayos,ND mkipg usp ng ma ayos
bakit naman ginanyan niyo siya,bkt nmmn gnanyn u cia
hindi na kayo naawa,ND nkau na awa
yang mga tiktik na yan,yng mg tik2x n yn
nagpapasikat lang yung dalawa,ngppackat lng ung dlwa
napakabastos nila,npka bs2s nla
mukhang walang pagsisisi,mukang wlng pg ccc
hoy gising,uiy gicng
patawa tawa lang ang dalawa,pataw2x lng an dalwa
ipakulong mo yan,IPA kolung moyan
bigyan mo si kuya,bigyn u se koya
para hindi na,pra hinde n
sampahan na yan,smphan n yn
tuwa ka pa nga,2wa k p ng
kailangan pa talaga,kelangan p tlg
kung sino pa mayayaman,qng cno p myyman
magkano lang ba yan,mgkno lng b yn
hindi talaga tatanggapin,ndi tlga ttnggapin
pinahiya niyo yung tao,pnhiya nio ung ta0
kasi alam niyo naman yun,kase alm niu nmn un
nakakawala sa sarili,nkkwla s srili
mukhang papogi,mukng p poqi
huwag patawarin,hwag ptwrin
grabe kayo mang insulto sa tao,grave kau mng insultosa tai
akala niyo binili niyo yung pagkatao,kla nio bnli nio ung pgktao
parang mga tuta,prng mg 2ta
kahit sino ba naman,kh8 cnu banamn
bago kayo magsalita,bgo kyo mg slita
laman ng binili,lmn nng bnili
kumikita sila,komikita cla
alam niyo palang mali kayo,alm nio plng mli kayu
aminadng mali daw siya,amindong mli dw cya
bakit mo pa tinuloy,bat mu p tnuloy
ikaw nalang,ikw nlng
nalaman na ang totoo pero,nlmn n an 22o piro
respeto nila sa tao,res7 nla s taa
yan na sikat na,yn n ckat n
hindi na alam kung ano ginagawa,hnd n alm kng anu gingwa
yan kasi siguraduhin niyo muna,yn kac cguradohin nio mona
pano kung binalewala lang,pno qng binaliwla lng
huwag niyo sabihing hindi niyo sinasadya yun,wag nio savhing hbdi nio sinsdya un
hindi daw nila ginusto,hndi dw nla ginus2
yan pataas pa,yn ptaas pah
pag isipan kung makabubuti ba,pg icpan qng mkbubuti bah
gusto niyo silang dalawa,gus2 nio clng dlawa
mga mayabang na yan,manga mybang n yn
ang bait kunwari,an ba8 qnwari
pero doon wagas,pwo dun wgas
patawa ka masyado,ptwa k msyado
dapat para matuto lahat,dpat pra ma22 lhat
nakakainit lalo ng ulo,nkka in8 llo ng olo
ang gusto tatapalan ng pera,an gux2 ttpalan ng pira
napaka presko noong lalaki,npka presq nun lalake
hinay hinay lang,hinay2x lng
huwag basta basta,hwag basta2x
kung wala kang sapat na ebidensya,qng wla kng spat n ibidinsya
mga gahaman sa atensyon,mg ghman s a10syon
isa lang masasabi ko,1 lng mssavi q
buti nga sa inyo,bute ng senyo
gutom na gutom,gu2m n gu2m
ang mahal pa naman,an mhl p nmn
parang may sakit sa utak,prang my sk8 s utk
katulad ni kuya,ka2ld ni kua
minaliit niyo yung tao,minli8 nio ung tap
kasi hindi nila kilala,kc ndi nla klla
ganitong mga tao,gni2ng mg tai
huwag tularan,wg 2laran
karma na bahala sa inyo,krma n bhla xa inyu
pwede mo naman,pwd mu namn
wala naman talagang nakalagay,wl nman tlgng nklgay
uulit lang yan,uul8 lng yn
wala kayong awa,wla kaung aw
sige kuya ituloy mo,cge kua i2loy mu
kasuhan mo sila,ksuhn mu cila
akala ganon ganon lang,kla ganon2x lng
magtanda sana kayung dalawa,mgtnda sna kaung dlwa
basura kayo,bsura kayu
hindi niyo ba naisip,d nio b naicp
huwag kasi pasikat,wg kc psikat
pakulong na yan,pkulong n yarn
huwag ipagpalit sa kahihiyan,wag ipgpal8 s khihiyn
nakita ko naman,nakira q nmn
yung itsura niya,un itchura nia
napagkamalan na natawa siya,npgkamaln n ntwa cia
porket mahirap lang,porker mhirp lng
ginaganyan nila,gnaganyan nla
sa kulungan kayo,s kolungan kau
ingat po palagi,ingt pu plgi
kung ako yan,kong aq yn
itutuloy ko talaga,itotoloy ko tlga
huwag ka pumayag sa areglo,wg k pumyg s ariglo
wala ng usap usap pa,wla ng usap2x p
makulong kayo,ma kolong kau
doon kayo sa kulungan,dun kau s kolongan
parang wala lang talaga,prng wla lng tlga
tingnan mo pangiti ngiti pa,tngnn mu pa ngiti2x p
kita yung mukha niya,kta unv muka nia
dyan kay kuya,jan ky kua
nasaan yung karugtong nito,asan ung karug2ng neto
hindi niyo po alam,d nyu pu alm
tao rin po siya,tai rn pu cia
kasuhan niyo yan kuya,kasohan nyuyan koya
patawa tawa lang mga siraulo,patawa2x lng mg sera olo
tumatawa pa itong dalawa na ito,tomatawa p 2ng dlawa nato
sinungaling pa,sinongaling p
hindi dapat pinapasikat yung ganito,nd dpat pinapckat ung gni2
nagsisikap kang gumawa ng tama,ng cckap kng gumwa ng tma
walang kasing sakit yun,wlng ksing sk8 un
kawawa mga ganito,kwwa mga ganto
hindi niyo kayang bilhin,di nyo kyang blhin
hindi niyo kayang pantayan,di nio kyng pntayan
may dignidad kahit walang makain,my dignidd kh8 wlng mkain
puro yan lang kasi alam,pro yn lng kc alm
galing magsalita ni kuya,gling mgslita ni kua
idol talaga,lodi tlga
nakakainis pa mga reaksyon,nakka ines p mga reaksyun
nakakatawa pa kayo,nakka twa p kyo
hindi naman sinadya talaga,hndi nman sindaya tlga
kapag sumobra sa pasikat,pag sumubr s pckat
bakit ba may sumusuporta sa ganito,bat b my sumosoporta s gnito
patawarin niyo na,ptawrin nyo n
puro kahihiyan ang ibinigay,ouro khihiyan an bngay
laki ng bunganga mo,lki ng bunga2 mu
nagugutom tapos halakhakan kayo,ngugu2m tpos hlakhkn kau
pinagtawanan niyo lang,pinag twnan nyo lng
ay sana matuluyan ito,ahy sna ma2luyn to
ganyan nalang basta basta,gnyn nlng bsta bsta
uulit yan kapal naman nang mukha,u ulit yankapak Nman nng Muka
hindi basehan na hindi mangloloko,d basihan n hinde mngluloko
talagang hindi makatao,tlgng nd mktao
pag usapan niyo kung paano,pg uspn nio qng pan
totoo dapat yan,22o dpt yn
yung lalaking parang wala lang,ung llaki prng wla lng
akala mo kung sino,kla mo kng cno
tuluyan niyo na yan para hindi gayahin,2loyan nio n yn pra di gyahin
pwede ba sa kulungan,pd b s kulongn
ano balita sa kaso nila kuya,anu blita s kso nil kua
kulong nalang,kolong nlng
sisikat ka nga,cckat k ng
hindi katanggap tanggap isipin,di ka tanggap2x icpin
tapos nasira mo buhay ng tao,tpos ncra u bohy ng tau
isip isip muna,iisip2x mona
hindi sila seryoso,hnd cela ceryoso
nilang hinihingi,nelang henihengi
kasi sila si kuya hindi,kc cela ce kua hnd
tuluyan mo na yan,toloyan monayan
mukhang matapobre yung lalaki,mukng mta pobre unglalake
ang babastos ng bunganga,an bbas2s ng bungnga
ngayon akala mo kung sino,ngayun kala mu qng cno
papogi pa yung lalaki,ppoqi p yubg lalke
paano niyo gamitin,pano nyo gmitin
kasuhan yan pabayarin mo,ksuhn yn pabayrin mu
parang walang mga modo,prng wlng mga mudo
tuluyan na yan kasi,2luyn nayan kac
talaga para matuto at para magkaroon ng aral,tlaga pra mtutu at pra mg karon ng arl
masyado po itong pinapahaba,maxado pu i2ng pinphba
pakitimbang naman po yung reklamo,paki timbng nmn pu ung reklmo
paulit ulit lang sinasabi,paulet2x lng sinasavi
pera pera lang yan,pera2x lng yn
gustong makalibre,gus2ng makikilebre
mga yan gusto lang sumikat,mgayan gostu lng sumkat
kasi asal mo yan,kc asl mu yn
hindi ko alam kung nasaan,diko alm kng nsan
sobra naman yan patawa pa,subra nman yn patwa p
parang nanalo na ako noon,prng nnlo n aq nun
hindi mo mababayaran ang,ndi m mbbyaran angg
mas malala pa,ms mlla p
tama na ang bolahan,tma n an bolahn
huwag ka papabayad,wag k ppbayad
kaya akala ko noong,kya kala q nung
nandito ako,andi2 aq
tama tama pasikatin mo sa kahihiyan,tama2x pckatin mu s khihiyn
dapat dyan kasuhan,dapt jan ksuhan
para hindi na maulit,pra d n maul8
pero hindi nakakatuwa ang ginawa niyo,peru hndi nkakatuwa an ginwa nyo
hindi dahilan ang pagiging gutom,d dhilan an pgiging gu2m
baka may pinagmanahan kayo,bka my pinag mnhan kau
sabihin mo mapanghusga ka lang talaga,savhin u mpang husga k lng tlg
huwag na kayong,wag n kayung
walang kwenta ito,wlng kwnta to
mga kulang kulang,mga kulang2x
maling mali po yan,malingmali pu yn
bumalik din sa inyo,bumlik dinsainyo
huwag pamarisan yang dalawang yan,wag pmrisan yng 2ng yn
siniraan niyo yun,cniraan nyu un
ngiti ngiti lang,ngiti2x lng
sa iba na,s iva nah
kaso na agad,kso n agd
yung tiyan mo,ung chan mu
kaysa bunganga mo,kesa bunga2 mu
sa mga tulad niyo,s mga 2lad niu
hindi nila alam mabait,di nla alm mba8
kasi mapanghusga,kc mapng husga
siya pa maangas,xia p maangs
pero nagsasabi na babalik,pro ngssavi n bbalik
mukhang nagdadabog pa,mukhng ngddabog p
kapag nakita sa daan binabato,pag nkita s daan binba2
ang pangit naman,an pang8 nman
dapat sa inyo ikulong,dpat s inio iklong
walang respeto,walng rezpito
masamang epekto ng droga,msmang epik2 ng druga
parang lola,parng lla
yan may tumulong sayo,yn my 2mulong sau
sikat na kayo ngayon,ckat n kau ngaun
dahil sa ginawa niyo,dhil s ginwa nio
gusto niyo lang magpapansin,gus2 nio lng mgppancn
hindi bagay,di bgay
mainit na tubig,main8 n 2big
tapos lagyan ko,tas lagyn ko
may kasunod po ba ito,my ksunid pu b eto
bigyan ng hustisya,bigyn ng hustixia
para lang magkaroon kayo,pra lng mgkroon kau
dapat talaga na makulong yan,dpat tlaga n mkulong yn
mga walang hiya,maga walng hya
babayaran daw pagpasok,bbyaran dw pgpsok
para hindi na makaisip si kuya,pra di n mka isip c kua
yung babae bait baitan,ung bbae ba8 ba8tan
kasi nakasuhan na,kac nksuhan na
ang ganda po,an gnda pu
sobra po yung ginawa,subra pu ung ginwa
hindi sila magsisisi,hnd cl magccc
yun lang yun,un lng un
kaya lang nagsisi dahil,kya lng nagcc dahil
akala nila walang kakayanan si kuya,akla nla wlang kkyanan c kua
kung magnanakaw yan,qng mg nnkaw yn
hindi niya ihahatid,di nya ehhatid yn
nalang sila sa loob ng selda,nlng cla s luub ng clda
papogi pa rin,p poqi parin
dapat inisip niyo bago,dpat inicp nio bgo
para maturuan ng aral,pra ma2rukan ng arl
huwag gayahin,wg gyhin
ano pangalan nila,nu pngaln nla
nagpapasensya tapos pangiti ngiti,ngppasencya tpos pa ngiti2x
habang humihingi tawad,hbng humhngi twad
huwag ka umatras,wg k umatrs
sampahan mo yan,smphan m yn
wala pakialam yung dalawa,wla pki alm ung dlwa
sikat na kayo,ckat nakayu
magugulo buhay niyo,mgu2lo bohai nio
leksyon yan sa inyo,licsion yn sanyo
dyan mo makikita,jn mu mkkita
nagpakumbaba na nga yang dalawa,ngpakumbba nanga ymg dlwa
pangit ka na nga,png8 k n ngah
pangit ng ugali,pang8 ng uguli
makabubuti pa sa iyo yun,mkbubuti p sau yon
paanong aksidente lang,panong axidente lng
kung mayroon pa,qng meron p
sa iba pang katulad niyo,s ib png ka2lad nio
para paraan kayo,pra praan kyo
nasa mukha niyo,nsa mokha niu
walang modo,wlng modu
sarap banatan,srap bntan
yung lalaki na yan,ung llake n ean
huwag tularan,wag 2lran
wala dapat tayo kakampihan,wla dpat tau kkampihn
dito sila para magkaayos,d2 cla pra mgkaaus
hindi para awayin,nd pra awyin
kaya huwag niyo na,kya wag nyo n
sana maturuan na yan ng leksyon,sna ma2ruan n yn ng likxon
ang galing manlait,an gling mnla8
dapat kulong ang mga ganyan,dpt qlong an mga gnyn
hindi siya seryoso sa,ndi xa ceryuso s
nakangiti pa,nka ngeti p
para maging halimbawa sa iba,pra mging hlimbwa s ib
walang matututo,wlang ma222
huwag puro patawad,wag pur ptawd
papansin at pasikat,ppancn at pckat
naku naman ang mga bata ngayon,nko nmn an mga bta ngaun
kagaya nila mabait kunwari,kgya nla mba8 kunwri
pero ang totoo masama ugali,pro an 22o msama ugli
kahit hindi ko sila kilala,kh8 d q cla klla
nakakasakit ginawa nila,nkksk8 gnwa nla
bakit pa mumurahin,bat p mumurhin
grabe kayong dalawa,graveh kayung dlwa
naman siguro kayo,nmn cguro kau
pinapabayaan na lang namin,Pinpqbayaan na lg namen
hindi niyo manlang nirespeto,di nyo mnlang nires7
huwag niyo sila suportahan,wag nio cla suporthn
ang saya saya niyo pa,an saya2x nio p
ngayon para kayong basang sisiw,ngaun pra kaung bsang ccw
bastos bunganga mo,bas2s bonganga mu
maging aral sana sa inyo,mging arl sna sainyo
nakakayamot lang kayong dalawa,nkakaymot laang kaung dalwa
babaw ng rason,bbw ng rson
huwag naman manira,wg nmn mnira
maayos yung tao,maaus ung tai
kung ako sa inyo,qng aq s inio
magsayaw nalang kayo,mg syaw nlng kau
kayo ng ibang tao,kyo ng ibng tai
malinaw na sa kasong ito,mlinaw n s kasomh i2
ang may palya,an my plya
ipinapahamak niyo lang,pinphamak nyo lng
baka gusto lang ninyo ng libre,bka gus2 lng nio ng lebre
wala kang matinong nagagawa,wla kng mtinong nggwa
mas madami siguro,ms mdmi cguro
dinaan sa itsura,dnaan s itchura
huwag patawarin yan,wagpatawarin yn
ganyan mga tao,ganean manga tai
kulong kailangan dyan,qlong kelangan jn
si ate magsalita,c ati mgslita
ngayon kayo pinagtatawanan,ngaun kau pingttawanan
ngayon para kang tupa,ngaun pra kang topa
magmakaawa ka,mgmkaawa k
nabigkas daw bigla,nbigkas dw bgla
ayos ka lang,aus k lng
mayabang na yan,myabang n yn
sa putik din kayo ililibing,s putek dn kau illibing
ginusto niyo kasi,ginus2 nio kac
maging responsablel ka,mging risponsble k
imposibleng hindi niyo alam,impocbling di nyo alm
at sila na mismo nagsabi,t sla n mxmo ngsvi
galing kayo doon,haling kyo don
hindi lahat kayang bilhin ng pera,di lhat kyang blhin ng pra
kaya niyang kitain yan pero,kya nyang ktain yn perp
hindi niyo alam ang gagawin,di nyo alm ggawin
binayaran yan,bnyran yn
sinimulan mo na yan,cnimuln monayan
hindi naman kailangan sisihin,d nmn kelngan cchin
patas na siguro yun,pts n cguro yon
kulang pa nga yan,kulng p ng yn
sana makulong,sna mkulong
porket umaangat na,porki omaangt n
tumutulong sa kapwa,2mu2long s kpwa
magharap nalang sa korte,mgharp nlng s kurte
away bata lang yan,awy bta lng yn
kung ayaw magpatawad,qng ayw mgptawd
para hindi na tularan,pra dna tulran
mapahiya din sila,mphiya dn cla
pakulong mo na yan,pkulong mo nayan
talagang sadya yan,tlgang sdya yn
nagpapadami lang,ng papa dmi lng
sina kuya at ate,cna kua t ati
tapos yung dalawa hindi manlang,tas ung 2 di mnlang
akala nila mababayaran nila,kala nla mbbayran nla
halata naman,hlta nman
kapag nasa,pagnasa
tuloy mo kaso mo,2loy m kasu m
natakot sa sarili,ntkot s srili
lang gaganyanin niyo na,laang gaganinin nio n
hindi niyo alam mayroon kayong nasisira,di nio alm meron kyong naccra
kapag nagugutom pala,pag ngugu2m pla
nagsasalita ng masakit,ngsslita ng msk8
napaiyak nga ako,npaiyaq nqa aq
pero yung may sala parang wala lang,pro ung my sla prng wla lng
gaano sila,ganu cla
maayos naman sana,maaus namn sna
lakas niyong manapak,lkas nyong mnpak
hindi kayo magandang ehemplo,di kyo mgandng ehimplo
nagpapakahirap sila,ng papaka hrao cla
dapat sa inyo makulong,dpat s inyu makulung
tuloy mo yung kas kapatid,tuluy mu kso kptid
ayaw niyo tulungan,ayw niu 2lungn
diretso na yan sa korte,derecho nyn s corte
dahil ayaw na nga,dhil ayw n ngq
hayaan niyo magdemanda,hyaan nio mgdemnda
ang kakapal ng mukha,an kkpal ng mokha
ang hirap kasi sa atin,an hirp kase saten
akala mo ibang tao na,kla m ibng tai n
huwag talagang gutumin,wag tlgang gu2min
sarap hampasin,sarp hmpsin
masama talaga ugali nito,msma tlga ugle ni2
bakit tawad tawad ka,bk8 tawad2x k
pasensiya ka,pacenxia k
alam niyo yang ginagawa niyo,alm nio yng gingwa nio
kapag nagugutom,pagnagugutom
magawa ko nga,mgawa konga
hindi baleng manghamak kayo,dibaling mng hamk kyo
para sumukat lang,pra sumikt lng
porket ganyan lang si kuya,pwerket gnyn lng c kua
nasaan na ba,asan n b
bakit ganyan,bt gnyan
negatibong imahe,negtivong emahe
kung si idol yan,kng c lodi ean
paano tutuluyan yan,panu 22luyan yn
huwag na kayong gumamit,wag nakayong gumam8
mga kalokohan niyo,mgq kalukuhan niu
palusot na lang,palosot nlng
wala akong naramdaman,wla aqng nrmdman
matanggal ang yabang nila,mtanggal an yqbang nla
gamitin mo ang kahihiyan,gam8in mu an khihiyan
ako nga kulang din,aq ngq kulng dn
lang naman sila,lng nmn cela
huwag mo na tulungan,wg muna 2lungan
matuto sa mga mali nila,ma22 s mgq male nela
yan yung mga di maganda ugali,yn ung mga di mganda ugale
kulong na ito,kolong nato
kakapal ng mukha niyo,kkpal ng mkha nio
pwede suntukan nalang,pwd sun2kn nalng
kasi kung patuloy sila,kc kng pa2loy sla
bagay na hindi ko ginawa,bgy n d q gnwa
kasuhan mo yan,kasohan mu ean
ang bait nila,an ba8 nla
hindi pwede yang dahilan mo sakin,di pede yng dhiln m skin
kahit saang anggulo,kh8 ssang ang golo
nakakapanakit kayo ng damdamin,nkka pnak8 kyo ng dmdamin
hindi mo yun ilalabas,dimo un illabas
paninirang puri yan,pninirng pori yn
dapat dyan pakulong,dpat jn pkulon
mga yan kasi sobra naman,manga yn ksi subra nmn
yung iba na eksena,ung ib n exsena
kailangan ba talaga,kilangan b talga
pagtatawanan niyo pa,pg ttawann nyo p
